timestamp_utc,symbol,direction,entry_price,exit_price,outcome,pips,opened_at
2026-09-03T12:38:46.107071+00:00,XAUUSD,SELL,4496.2001953125,4493.7001953125,WIN,25.0,2026-09-03T12:21:09.372835+00:00
2026-09-03T12:38:46.107071+00:00,EURUSD,BUY,1.161440134048462,1.16225004196167,WIN,8.1,2026-09-03T12:21:09.372835+00:00
2026-09-03T12:38:46.107071+00:00,GBPUSD,BUY,1.3495277166366577,1.3506395816802979,WIN,11.12,2026-09-03T12:00:33.050787+00:00
2026-09-03T12:38:46.107071+00:00,USDJPY,BUY,155.78799438476562,155.64300537109375,LOSS,-14.5,2026-09-03T12:21:09.372835+00:00
2026-09-03T12:51:49.674824+00:00,XAUUSD,SELL,4493.7001953125,4514.7001953125,LOSS,-210.0,2026-09-03T12:38:46.107071+00:00
2026-09-03T12:51:49.674824+00:00,EURUSD,BUY,1.16225004196167,1.162520408630371,WIN,2.7,2026-09-03T12:38:46.107071+00:00
2026-09-03T12:51:49.674824+00:00,GBPUSD,BUY,1.3506395816802979,1.3514426946640015,WIN,8.03,2026-09-03T12:38:46.107071+00:00
2026-09-03T12:51:49.674824+00:00,USDJPY,BUY,155.64300537109375,155.50799560546875,LOSS,-13.5,2026-09-03T12:38:46.107071+00:00
2026-09-03T13:00:04.838031+00:00,XAUUSD,SELL,4514.7001953125,4527.2001953125,LOSS,-125.0,2026-09-03T12:51:49.674824+00:00
2026-09-03T13:00:04.838031+00:00,EURUSD,BUY,1.162520408630371,1.1629259586334229,WIN,4.06,2026-09-03T12:51:49.674824+00:00
2026-09-03T13:00:04.838031+00:00,GBPUSD,BUY,1.3514426946640015,1.3518993854522705,WIN,4.57,2026-09-03T12:51:49.674824+00:00
2026-09-03T13:00:04.838031+00:00,USDJPY,BUY,155.50799560546875,155.55499267578125,WIN,4.7,2026-09-03T12:51:49.674824+00:00
2026-09-03T13:14:49.432756+00:00,XAUUSD,SELL,4527.2001953125,4537.10009765625,LOSS,-99.0,2026-09-03T13:00:04.838031+00:00
2026-09-03T13:14:49.432756+00:00,EURUSD,BUY,1.1629259586334229,1.1626555919647217,LOSS,-2.7,2026-09-03T13:00:04.838031+00:00
2026-09-03T13:14:49.432756+00:00,GBPUSD,BUY,1.3518993854522705,1.351314902305603,LOSS,-5.84,2026-09-03T13:00:04.838031+00:00
2026-09-03T13:14:49.432756+00:00,USDJPY,BUY,155.55499267578125,155.64100646972656,WIN,8.6,2026-09-03T13:00:04.838031+00:00
2026-09-03T13:28:53.493631+00:00,XAUUSD,SELL,4537.10009765625,4527.39990234375,WIN,97.0,2026-09-03T13:14:49.432756+00:00
2026-09-03T13:28:53.493631+00:00,GBPUSD,BUY,1.351314902305603,1.3509496450424194,LOSS,-3.65,2026-09-03T13:14:49.432756+00:00
2026-09-03T13:28:53.493631+00:00,USDJPY,BUY,155.64100646972656,155.6219940185547,LOSS,-1.9,2026-09-03T13:14:49.432756+00:00
